pasta,nome,njud,data,mes,ano,dia_util
05 - MAI - 26,NJUD_1877_08-05-2026.mp3,1877,2026-05-08,5,2026,sim
05 - MAI - 26,NJUD_1905_08-05-2026.mp3,1905,2026-05-08,5,2026,sim
05 - MAI - 26,NJUD_1870_11-05-2026.mp3,1870,2026-05-11,5,2026,sim
05 - MAI - 26,NJUD_2001_11-05-2026.mp3,2001,2026-05-11,5,2026,sim
05 - MAI - 26,NJUD_1871_12-05-2026.mp3,1871,2026-05-12,5,2026,sim
05 - MAI - 26,NJUD_2002_12-05-2026.mp3,2002,2026-05-12,5,2026,sim
05 - MAI - 26,NJUD_1872_13-05-2026.mp3,1872,2026-05-13,5,2026,sim
05 - MAI - 26,NJUD_2003_13-05-2026.mp3,2003,2026-05-13,5,2026,sim
05 - MAI - 26,NJUD_1873_14-05-2026.mp3,1873,2026-05-14,5,2026,sim
05 - MAI - 26,NJUD_2004_14-05-2026.mp3,2004,2026-05-14,5,2026,sim
05 - MAI - 26,NJUD_1874_15-05-2026.mp3,1874,2026-05-15,5,2026,sim
05 - MAI - 26,NJUD_2005_15-05-2026.mp3,2005,2026-05-15,5,2026,sim
05 - MAI - 26,NJUD_1875_18-05-2026.mp3,1875,2026-05-18,5,2026,sim
05 - MAI - 26,NJUD_2101_18-05-2026.mp3,2101,2026-05-18,5,2026,sim
05 - MAI - 26,NJUD_1876_19-05-2026.mp3,1876,2026-05-19,5,2026,sim
05 - MAI - 26,NJUD_2102_19-05-2026.mp3,2102,2026-05-19,5,2026,sim
05 - MAI - 26,NJUD_2103_20-05-2026.mp3,2103,2026-05-20,5,2026,sim
05 - MAI - 26,NJUD_1878_21-05-2026.mp3,1878,2026-05-21,5,2026,sim
05 - MAI - 26,NJUD_2104_21-05-2026.mp3,2104,2026-05-21,5,2026,sim
05 - MAI - 26,NJUD_1879_22-05-2026.mp3,1879,2026-05-22,5,2026,sim
05 - MAI - 26,NJUD_2105_22-05-2026.mp3,2105,2026-05-22,5,2026,sim
05 - MAI - 26,NJUD_1880_25-05-2026.mp3,1880,2026-05-25,5,2026,sim
05 - MAI - 26,NJUD_2201_25-05-2026.mp3,2201,2026-05-25,5,2026,sim
05 - MAI - 26,NJUD_1881_26-05-2026.mp3,1881,2026-05-26,5,2026,sim
05 - MAI - 26,NJUD_2202_26-05-2026.mp3,2202,2026-05-26,5,2026,sim
05 - MAI - 26,NJUD_1882_27-05-2026.mp3,1882,2026-05-27,5,2026,sim
05 - MAI - 26,NJUD_2203_27-05-2026.mp3,2203,2026-05-27,5,2026,sim
05 - MAI - 26,NJUD_1883_28-05-2026.mp3,1883,2026-05-28,5,2026,sim
05 - MAI - 26,NJUD_2204_28-05-2026.mp3,2204,2026-05-28,5,2026,sim
05 - MAI - 26,NJUD_1884_29-05-2026.mp3,1884,2026-05-29,5,2026,sim
05 - MAI - 26,NJUD_2205_29-05-2026.mp3,2205,2026-05-29,5,2026,sim
06 - JUN - 26,NJUD_2301_01-06-2026.mp3,2301,2026-06-01,6,2026,sim
06 - JUN - 26,NJUD_1888_02-06-2026.mp3,1888,2026-06-02,6,2026,sim
06 - JUN - 26,NJUD_2302_02-06-2026.mp3,2302,2026-06-02,6,2026,sim
06 - JUN - 26,NJUD_2303_03-06-2026.mp3,2303,2026-06-03,6,2026,sim
06 - JUN - 26,NJUD_1894_08-06-2026.mp3,1894,2026-06-08,6,2026,sim
06 - JUN - 26,NJUD_2401_08-06-2026.mp3,2401,2026-06-08,6,2026,sim
06 - JUN - 26,NJUD_2402_09-06-2026.mp3,2402,2026-06-09,6,2026,sim
06 - JUN - 26,NJUD_2403_10-06-2026.mp3,2403,2026-06-10,6,2026,sim
06 - JUN - 26,NJUD_2404_11-06-2026.mp3,2404,2026-06-11,6,2026,sim
06 - JUN - 26,NJUD_2405_12-06-2026.mp3,2405,2026-06-12,6,2026,sim
06 - JUN - 26,NJUD_2501_15-06-2026.mp3,2501,2026-06-15,6,2026,sim
