LINHA,CAMINHO,PROGRAMA,NUMERO_EXTRAIDO
221,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2105_22-05-2026.mp3,NJUD_2105,2105
223,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2201_25-05-2026.mp3,NJUD_2201,2201
225,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2202_26-05-2026.mp3,NJUD_2202,2202
227,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2203_27-05-2026.mp3,NJUD_2203,2203
229,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2204_28-05-2026.mp3,NJUD_2204,2204
231,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2205_29-05-2026.mp3,NJUD_2205,2205
232,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2301_01-06-2026.mp3,NJUD_2301,2301
236,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2302_02-06-2026.mp3,NJUD_2302,2302
239,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2303_03-06-2026.mp3,NJUD_2303,2303
243,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2401_08-06-2026.mp3,NJUD_2401,2401
247,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2402_09-06-2026.mp3,NJUD_2402,2402
250,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2403_10-06-2026.mp3,NJUD_2403,2403
251,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2404_11-06-2026.mp3,NJUD_2404,2404
252,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2405_12-06-2026.mp3,NJUD_2405,2405
253,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2501_15-06-2026.mp3,NJUD_2501,2501
254,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2502_16-06-2026.mp3,NJUD_2502,2502
255,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2503_17-06-2026.mp3,NJUD_2503,2503
256,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2504_18-06-2026.mp3,NJUD_2504,2504
257,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\06 - JUN - 26\NJUD_2605_26-06-2026.mp3,NJUD_2605,2605
260,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\07 - JUL - 26\NJUD_3007_26-07-2026.mp3,NJUD_3007,3007
262,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\08 - AGO - 26\NJUD_3503_26-08-2026.mp3,NJUD_3503,3503
263,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\08 - AGO - 26\NJUD_3906_27-08-2026.mp3,NJUD_3906,3906
264,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\08 - AGO - 26\NJUD_4401_27-08-2026.mp3,NJUD_4401,4401
265,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\08 - AGO - 26\NJUD_4804_27-08-2026.mp3,NJUD_4804,4804
266,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\08 - AGO - 26\NJUD_5206_27-08-2026.mp3,NJUD_5206,5206
