MES,DIA,PROGRAMA,DATA,STATUS,CAMINHO
FEV,9,NJUD_1822,09/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1822_09-02-2026.mp3
FEV,9,NJUD_1823,09/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1823_09-02-2026.mp3
FEV,9,NJUD_1824,09/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1824_09-02-2026.mp3
FEV,10,NJUD_0702,10/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0702_10-02-2026.mp3
FEV,10,NJUD_1825,10/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1825_10-02-2026.mp3
FEV,10,NJUD_1826,10/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1826_10-02-2026.mp3
FEV,11,NJUD_0703,11/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0703_11-02-2026.mp3
FEV,11,NJUD_1813,11/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1813_11-02-2026.mp3
FEV,12,NJUD_0704,12/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0704_12-02-2026.mp3
FEV,12,NJUD_1815,12/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1815_12-02-2026.mp3
