arquivo,pasta_drive,status,observacao
NJUD_1905_01-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1907_03-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1910_09-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1911_09-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1915_16-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1917_17-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1920_23-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1922_27-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1903_30-06-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1904_01-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1906_03-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1908_06-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1909_07-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1913_14-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1914_14-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1916_17-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1918_20-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1919_22-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1921_24-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1912_10-07-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1904_01-07-2026.mp3,04 - ABR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1906_03-07-2026.mp3,04 - ABR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1865_04-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1866_05-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1867_06-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1868_07-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1869_08-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1870_11-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1871_12-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1872_13-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1873_14-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1874_15-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1875_18-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1876_19-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1878_21-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1879_22-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1880_25-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1881_26-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1882_27-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1883_28-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1884_29-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1877_20-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1901_25-06-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1902_26-06-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1903_30-06-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1904_01-07-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1905_01-07-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2001_11-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2002_12-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2003_13-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2004_14-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2005_15-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2101_18-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2102_19-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2103_20-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2104_21-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2105_22-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2201_25-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2202_26-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2203_27-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2204_28-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2205_29-05-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1909_07-07-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1914_14-07-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1916_17-07-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1919_22-07-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1921_24-07-2026.mp3,05 - MAI - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_2605_26-06-2026.mp3,06 - JUN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1888_08-06-2026.mp3,06 - JUN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1894_16-06-2026.mp3,06 - JUN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
