LINHA,CAMINHO,PROGRAMA,NUMERO_EXTRAIDO
114,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1841_10-03-2026.mp3,NJUD_1841,1841
115,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1842_10-03-2026.mp3,NJUD_1842,1842
116,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1843_10-03-2026.mp3,NJUD_1843,1843
118,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1844_11-03-2026.mp3,NJUD_1844,1844
119,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1845_11-03-2026.mp3,NJUD_1845,1845
121,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1846_12-03-2026.mp3,NJUD_1846,1846
122,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1847_12-03-2026.mp3,NJUD_1847,1847
123,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1848_12-03-2026.mp3,NJUD_1848,1848
125,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1827_13-03-2026.mp3,NJUD_1827,1827
127,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1830_16-03-2026.mp3,NJUD_1830,1830
129,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1832_17-03-2026.mp3,NJUD_1832,1832
131,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1834_18-03-2026.mp3,NJUD_1834,1834
133,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1837_19-03-2026.mp3,NJUD_1837,1837
135,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1839_20-03-2026.mp3,NJUD_1839,1839
137,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1842_23-03-2026.mp3,NJUD_1842,1842
139,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1844_24-03-2026.mp3,NJUD_1844,1844
140,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1847_25-03-2026.mp3,NJUD_1847,1847
153,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1927_15-04-2026.mp3,NJUD_1927,1927
155,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1902_16-04-2026.mp3,NJUD_1902,1902
157,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1903_17-04-2026.mp3,NJUD_1903,1903
158,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1904_17-04-2026.mp3,NJUD_1904,1904
159,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1905_17-04-2026.mp3,NJUD_1905,1905
160,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1904_20-04-2026.mp3,NJUD_1904,1904
162,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1906_22-04-2026.mp3,NJUD_1906,1906
163,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1907_22-04-2026.mp3,NJUD_1907,1907
165,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1908_23-04-2026.mp3,NJUD_1908,1908
166,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1909_23-04-2026.mp3,NJUD_1909,1909
167,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1910_23-04-2026.mp3,NJUD_1910,1910
169,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1911_24-04-2026.mp3,NJUD_1911,1911
170,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1912_24-04-2026.mp3,NJUD_1912,1912
172,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1913_26-04-2026.mp3,NJUD_1913,1913
173,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1914_26-04-2026.mp3,NJUD_1914,1914
174,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1915_26-04-2026.mp3,NJUD_1915,1915
175,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1801_27-04-2026.mp3,NJUD_1801,1801
176,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1916_27-04-2026.mp3,NJUD_1916,1916
177,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1917_27-04-2026.mp3,NJUD_1917,1917
178,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1802_28-04-2026.mp3,NJUD_1802,1802
179,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1918_28-04-2026.mp3,NJUD_1918,1918
180,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1919_28-04-2026.mp3,NJUD_1919,1919
181,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1920_28-04-2026.mp3,NJUD_1920,1920
182,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1803_29-04-2026.mp3,NJUD_1803,1803
183,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1921_29-04-2026.mp3,NJUD_1921,1921
184,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1922_29-04-2026.mp3,NJUD_1922,1922
185,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1804_30-04-2026.mp3,NJUD_1804,1804
186,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - 04 - 26\NJUD_1906_30-04-2026.mp3,NJUD_1906,1906
187,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - 05 - 26\NJUD_1909_01-05-2026.mp3,NJUD_1909,1909
188,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_1865_04-05-2026.mp3,NJUD_1865,1865
189,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_1901_04-05-2026.mp3,NJUD_1901,1901
190,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - 05 - 26\NJUD_1914_04-05-2026.mp3,NJUD_1914,1914
192,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_1902_05-05-2026.mp3,NJUD_1902,1902
193,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - 05 - 26\NJUD_1916_05-05-2026.mp3,NJUD_1916,1916
195,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_1903_06-05-2026.mp3,NJUD_1903,1903
196,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - 05 - 26\NJUD_1919_06-05-2026.mp3,NJUD_1919,1919
198,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_1904_07-05-2026.mp3,NJUD_1904,1904
