[22:11:03] JORNAIS=619 (+0) | PROCESSED=132 (+2) | OUTPUT=0 (+0) | CABECA=66 CORPO=66 | audit=missing
[22:11:33] JORNAIS=619 (+0) | PROCESSED=136 (+4) | OUTPUT=0 (+0) | CABECA=68 CORPO=68 | audit=missing
[22:12:03] JORNAIS=619 (+0) | PROCESSED=138 (+2) | OUTPUT=0 (+0) | CABECA=69 CORPO=69 | audit=missing
[22:12:33] JORNAIS=619 (+0) | PROCESSED=138 (+0) | OUTPUT=0 (+0) | CABECA=69 CORPO=69 | audit=missing
[22:13:03] JORNAIS=619 (+0) | PROCESSED=140 (+2) | OUTPUT=0 (+0) | CABECA=70 CORPO=70 | audit=missing
[22:13:33] JORNAIS=619 (+0) | PROCESSED=142 (+2) | OUTPUT=0 (+0) | CABECA=71 CORPO=71 | audit=missing
[22:14:03] JORNAIS=619 (+0) | PROCESSED=144 (+2) | OUTPUT=0 (+0) | CABECA=72 CORPO=72 | audit=missing
[22:14:33] JORNAIS=619 (+0) | PROCESSED=146 (+2) | OUTPUT=0 (+0) | CABECA=73 CORPO=73 | audit=missing
[22:15:04] JORNAIS=619 (+0) | PROCESSED=148 (+2) | OUTPUT=0 (+0) | CABECA=74 CORPO=74 | audit=missing
[22:15:34] JORNAIS=619 (+0) | PROCESSED=150 (+2) | OUTPUT=0 (+0) | CABECA=75 CORPO=75 | audit=missing
[22:16:04] JORNAIS=619 (+0) | PROCESSED=154 (+4) | OUTPUT=0 (+0) | CABECA=77 CORPO=77 | audit=missing
[22:16:34] JORNAIS=619 (+0) | PROCESSED=156 (+2) | OUTPUT=0 (+0) | CABECA=78 CORPO=78 | audit=missing
[22:17:04] JORNAIS=619 (+0) | PROCESSED=158 (+2) | OUTPUT=0 (+0) | CABECA=79 CORPO=79 | audit=missing
[22:17:34] JORNAIS=619 (+0) | PROCESSED=160 (+2) | OUTPUT=0 (+0) | CABECA=80 CORPO=80 | audit=missing
[22:18:04] JORNAIS=619 (+0) | PROCESSED=162 (+2) | OUTPUT=0 (+0) | CABECA=81 CORPO=81 | audit=missing
[22:18:34] JORNAIS=619 (+0) | PROCESSED=164 (+2) | OUTPUT=0 (+0) | CABECA=82 CORPO=82 | audit=missing
