arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_10_04_2026_B3_TJRN_COSERN_CANCELAR_DEBITO_FRAUDE__CORPO.mp3,CORPO,OK,54.59,Ante,.400.,,,-24.9,-76.3,0,0,ok
BOLETIM_RADIO_TJRN_10_04_2026_B4_TJRN_CLIENTE_SOFRE_GOLPE_EMPRESTIMO_CONSIGNADO__CORPO.mp3,CORPO,OK,69.92,A,refinanciamento.,,,-22.7,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_13_04_2026_B2_TJRN_PARNAMIRIM_CONDENADO_ACIDENTE_TRANSPORTE__CORPO.mp3,CORPO,OK,44.91,A,estéticas.,,,-56.9,-38.9,0,0,ok
BOLETIM_RADIO_TJRN_13_04_2026_B3_TJRN_IPERN_CONDENADO_INDENIZAR_SERVIDORA__CORPO.mp3,CORPO,OK,44.32,Primeiro,aposentadoria...,,,-22.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_13_04_2026_B4_TJRN_ACUSADOS_CRIMES_TRAFICO__CORPO.mp3,CORPO,OK,69.61,O,competente.,,,-35.1,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_13_04_2026_B5_TJRN_PASSAGEIRA_RECEBEU_MALA_DANIFICADA__CORPO.mp3,CORPO,OK,45.24,De,civil.,,,-25.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_14_04_2026_B1_BLOQUEIO_TRATAMENTO_CRIANCA_TEA_CORPO.mp3,CORPO,OK,60.91,A,eliminar.,,,-22.8,-80.8,0,0,ok
BOLETIM_RADIO_TJRN_14_04_2026_B2_ANULACAO_DEBITO_TRIBUTARIO_CORPO.mp3,CORPO,OK,26.89,O,causado.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_14_04_2026_B3_CONDENACAO_PLANO_CIRURGIA_FACIAL_CORPO.mp3,CORPO,OK,26.09,Caso,assistente,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_14_04_2026_B4_INDENIZACAO_FALTA_HIGIENE_HOSPEDAGEM_CORPO.mp3,CORPO,OK,40.25,A,responderação.,,,-120.0,-80.8,0,0,ok
BOLETIM_RADIO_TJRN_15_04_2026_B3_TJRN_COLISAO_E_FUGA_CONDUTOR__CORPO.mp3,CORPO,OK,50.48,De,locatário.,,,-120.0,-36.9,0,0,ok
BOLETIM_RADIO_TJRN_15_04_2026_B4_TJRN_VARA_CIVEL_NATAL_PREMIO_ADVOGADOS__CORPO.mp3,CORPO,OK,45.43,Com,para...,,,-26.2,-26.7,0,0,ok
