arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db
BOLETIM_RADIO_TJRN_13_04_2026_B10_SUPLEMENTO_CRIANCA_SELETIVIDADE_CABECA.mp3,CABECA,OK,14.38,O,derivados.,,,-72.2,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B7_DANOS_MORAIS_MANOBRA_IRREGULAR_CABECA.mp3,CABECA,OK,5.73,Um,.600.,,,-44.2,-34.6
BOLETIM_RADIO_TJRN_13_04_2026_B8_SUSPENSAO_FATURA_ENERGIA_ELETRICA_CABECA.mp3,CABECA,OK,13.82,A,reais.,,,-40.7,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B9_CONTRATACAO_MEDICO_IRREGULAR_CABECA.mp3,CABECA,OK,2.8,Curso,saúde.,,,-41.2,-18.8
BOLETIM_RADIO_TJRN_14_04_2026_B1_BLOQUEIO_TRATAMENTO_CRIANCA_TEA_CABECA.mp3,CABECA,OK,5.72,Mantido,autista.,,,-120.0,-20.7
BOLETIM_RADIO_TJRN_14_04_2026_B2_ANULACAO_DEBITO_TRIBUTARIO_CABECA.mp3,CABECA,OK,15.24,O,TJRN.,,,-44.6,-47.1
BOLETIM_RADIO_TJRN_14_04_2026_B3_CONDENACAO_PLANO_CIRURGIA_FACIAL_CABECA.mp3,CABECA,OK,13.17,O,morais.,,,-61.7,-120.0
BOLETIM_RADIO_TJRN_14_04_2026_B4_INDENIZACAO_FALTA_HIGIENE_HOSPEDAGEM_CABECA.mp3,CABECA,OK,12.05,O,Recife.,,,-46.6,-120.0
BOLETIM_RADIO_TJRN_14_04_2026_B5_ACAO_EXTINTA_HETEROIDENTIFICACAO_CABECA.mp3,CABECA,OK,12.42,A,xadual.,,,-40.8,-90.3
BOLETIM_RADIO_TJRN_14_04_2026_B6_CONDENACAO_FURTO_CARRO_CABECA.mp3,CABECA,OK,8.9,Oitava,furto.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_14_04_2026_B7_REGISTRE_SE_CABECA.mp3,CABECA,OK,3.9,O,março.,,,-67.4,-25.8
BOLETIM_RADIO_TJRN_14_04_2026_B8_BLOQUEIO_APLICATIVO_MENSAGENS_CABECA.mp3,CABECA,OK,8.76,Para,trabalho.,,,-57.6,-30.7
BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO__CORPO.mp3,CORPO,OK,47.95,mas,administração,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-90.3
BOLETIM_RADIO_TJRN_06_04_2026_B2_TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA__CORPO.mp3,CORPO,OK,39.93,promoveu,"Oeste,","CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-25.5,-90.3
BOLETIM_RADIO_TJRN_06_04_2026_B3_TJRN_COJUD_PROCESSO_SELETIVO__CORPO.mp3,CORPO,OK,30.48,é,.060.,,,-120.0,-55.3
BOLETIM_RADIO_TJRN_06_04_2026_B4_TJRN_MUNICIPIO_GARANTIR_CONSULTAS__CORPO.mp3,CORPO,OK,38.14,consultas,isonomia.,,,-22.5,-70.3
BOLETIM_RADIO_TJRN_06_04_2026_B5_TJRN_MANTEM_RESPONSABILIZACAO_DANOS_ENCHENTE__CORPO.mp3,CORPO,OK,24.28,Conforme,determinado.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_06_04_2026_B6_TJRN_NEGA_RECURSO_ACUSADO_TENTATIVA_FEMINICIDIO__CORPO.mp3,CORPO,OK,53.55,O,atingida...,,,-120.0,-27.4
BOLETIM_RADIO_TJRN_06_04_2026_B7_TJRN_ACORDOS_EXTRAJUDICIAIS_PROSSEGUIMENTOS__CORPO.mp3,CORPO,OK,38.42,Deixar,regula,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-53.4
BOLETIM_RADIO_TJRN_06_04_2026_B8_TJRN_DECISAO_REALIZACAO_PERICIA_GRAFOTECNICA__CORPO.mp3,CORPO,OK,43.11,A,contrato.,,,-55.5,-120.0
BOLETIM_RADIO_TJRN_06_04_2026_B10_TJRN_CONDENA_FALSO_ADVOGADO__CORPO.mp3,CORPO,OK,44.16,De,via...,,,-120.0,-35.9
BOLETIM_RADIO_TJRN_06_04_2026_B9_TJRN_GARANTE_COBERTURA_PARTO_SEM_CARENCIA__CORPO.mp3,CORPO,OK,46.5,A,contratual.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_07_04_2026_B1_TJRN_CLIENTES_RECEBERAM_AGENCIA_TURISMO__CORPO.mp3,CORPO,OK,55.95,O,viagem.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_07_04_2026_B2_TJRN_CONSOLIDA_MEDIACAO_CONFLITOS__CORPO.mp3,CORPO,OK,32.79,Desde,comprimento.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_07_04_2026_B3_TJRN_OPERADORA_CONDENADA__CORPO.mp3,CORPO,OK,35.28,De,restrição.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_07_04_2026_B4_TJRN_NEGADO_ATO_IMPROBIDADE_SAO_MIGUEL__CORPO.mp3,CORPO,OK,46.91,Na,dados.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_07_04_2026_B5_TJRN_CONDENADO_ROUBO_CARRO__CORPO.mp3,CORPO,OK,57.71,de,criminosos.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_07_04_2026_B6_TJRN_ACUSADO_SEQUESTRO__CORPO.mp3,CORPO,OK,38.91,A,cautelar.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_07_04_2026_B10_REPARADORA_BARIATRICA_CORPO.mp3,CORPO,OK,51.81,e,probativa.,,,-24.7,-35.4
BOLETIM_RADIO_TJRN_07_04_2026_B7_FALHA_ELETRONICA_CONCURSO_CORPO.mp3,CORPO,OK,27.98,mas,título.,,,-120.0,-55.7
