arquivo,data,num_projetado,status
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B3_TJRN_COSERN_INDENIZA_MORADORA_INSTALACAO_NJUD_1917_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B3_TJRN_MANTEM_CONDENACAO_APODI_NJUD_1930_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B3_TJRN_MANTEM_CONDENACAO_APODI_NJUD_1930_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B4_TJRN_AJUIZAMENTO_NOVO_NUMERO_NJUD_1925_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B4_TJRN_AJUIZAMENTO_NOVO_NUMERO_NJUD_1925_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B4_TJRN_INSCRICOES_FORMACAO_LISTA__CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B4_TJRN_INSCRICOES_FORMACAO_LISTA__CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B10_DPERN_ACAO_CONCESSIONARIA_COBRANCAS_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B10_DPERN_ACAO_CONCESSIONARIA_COBRANCAS_CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B10_DPERN_QUILOMBOLAS_SAO_TOME_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B10_DPERN_QUILOMBOLAS_SAO_TOME_CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B1_TJRN_5_VARA_ESTAGIO_DIREITO_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B1_TJRN_5_VARA_ESTAGIO_DIREITO_CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B1_TJRN_COMARCA_MARTINS_EDITAL_PENAS_PECUNIARIAS__CABECA.mp3,26/06/2026,1900,pronto_renomear
